LONGITUDE,LATITUDE,RESPONSE:BINARY,EPSG:4326,OBSERVATION_DATE
-99.5075226,27.5063992,1,4326,1/3/2004
-98.4814,26.24705,1,4326,1/11/2004
-97.1975899,25.9603598,1,4326,1/15/2004
-99.4444013,27.0446212,1,4326,2/4/2004
-99.3931089,25.7914384,1,4326,2/14/2004
-99.0923004,26.4923992,1,4326,2/14/2004
-99.1256046,26.5651917,1,4326,3/7/2004
-99.1474915,26.5839986,1,4326,3/11/2004
-102.1155596,31.9603913,1,4326,3/13/2004
-110.9072828,31.6094605,1,4326,3/14/2004
-110.1408997,31.5478992,1,4326,3/18/2004
-102.1085107,31.9624848,1,4326,3/19/2004
-98.7732697,27.1398126,1,4326,3/20/2004
-98.7732697,27.1398126,1,4326,3/20/2004
-97.7707243,26.7876524,1,4326,3/27/2004
-99.1474915,26.5839986,1,4326,4/1/2004
-103.5533094,30.0309811,1,4326,4/2/2004
-103.5533094,30.0309811,1,4326,4/3/2004
-101.1353606,33.2295492,1,4326,4/3/2004
-99.1565681,26.5340383,1,4326,4/3/2004
-103.5533094,30.0309811,1,4326,4/4/2004
-97.3533726,26.2335321,1,4326,4/4/2004
-99.334259,33.2266263,1,4326,4/4/2004
-102.1155596,31.9603913,1,4326,4/6/2004
-99.1487913,26.5326942,1,4326,4/7/2004
-97.7707243,26.7876524,1,4326,4/14/2004
-98.1351399,26.0813003,1,4326,4/15/2004
-101.3185787,29.6935703,1,4326,4/15/2004
-102.7715635,33.9623872,1,4326,4/17/2004
-99.1565681,26.5340383,1,4326,4/17/2004
-99.1565681,26.5340383,1,4326,4/17/2004
-103.25518,33.613552,1,4326,4/18/2004
-97.4183462,26.0057269,1,4326,4/18/2004
-100.9228134,29.3414812,1,4326,4/18/2004
-99.2626548,26.8631537,1,4326,4/18/2004
-103.0827943,37.1437472,1,4326,4/19/2004
-97.4183462,26.0057269,1,4326,4/19/2004
-99.5072021,27.5060997,1,4326,4/19/2004
-110.8566971,31.4951992,1,4326,4/20/2004
-102.36283,37.05929,1,4326,4/20/2004
-99.7611008,29.7285995,1,4326,4/20/2004
-100.41836,29.31053,1,4326,4/21/2004
-102.1085107,31.9624848,1,4326,4/21/2004
-110.6602456,31.6784657,1,4326,4/22/2004
-102.36283,37.05929,1,4326,4/22/2004
-104.8484516,31.9069987,1,4326,4/23/2004
-101.5603102,29.8092115,1,4326,4/24/2004
-102.5594,37.6302111,1,4326,4/25/2004
-97.2173004,26.0652008,1,4326,4/25/2004
-97.6140404,28.542759,1,4326,4/25/2004
-99.1474915,26.5839986,1,4326,4/25/2004
-97.4183462,26.0057269,1,4326,4/26/2004
-97.6140404,28.542759,1,4326,4/26/2004
-98.3796179,26.1838822,1,4326,4/27/2004
-99.12311,26.55893,1,4326,4/27/2004
-99.1615982,26.5575008,1,4326,4/27/2004
-97.2980527,26.1796321,1,4326,4/28/2004
-97.3272438,26.0913939,1,4326,4/29/2004
-97.4183462,26.0057269,1,4326,4/29/2004
-98.4744499,26.3127281,1,4326,4/29/2004
-99.1261541,26.5651323,1,4326,4/29/2004
-99.1615982,26.5575008,1,4326,4/29/2004
-99.1155021,26.514616,1,4326,4/29/2004
-99.1474915,26.5839986,1,4326,4/29/2004
-97.3647237,26.234302,1,4326,4/30/2004
-99.0253115,26.4107434,1,4326,4/30/2004
-99.1565681,26.5340383,1,4326,4/30/2004
-99.1565681,26.5340383,1,4326,4/30/2004
-99.1565681,26.5340383,1,4326,4/30/2004
-99.1565681,26.5340383,1,4326,4/30/2004
-99.5034742,30.0769673,1,4326,5/1/2004
-97.3279338,26.1123549,1,4326,5/3/2004
-97.20855,26.07346,1,4326,5/3/2004
-109.8243175,32.2298515,1,4326,5/4/2004
-99.1294028,37.487205,1,4326,5/6/2004
-99.2497676,35.6247298,1,4326,5/6/2004
-99.6891363,35.6186654,1,4326,5/6/2004
-97.3647237,26.234302,1,4326,5/7/2004
-104.153984,35.449978,1,4326,5/8/2004
-104.870697,31.9001007,1,4326,5/8/2004
-103.7991207,34.4343548,1,4326,5/9/2004
-102.8821564,36.850766,1,4326,5/12/2004
-100.9404087,31.8106244,1,4326,5/14/2004
-102.7715635,33.9623872,1,4326,5/15/2004
-97.6985836,26.7717443,1,4326,5/15/2004
-102.1084705,31.9604868,1,4326,5/15/2004
-102.18416,39.61853,1,4326,5/16/2004
-107.9386997,31.94284,1,4326,5/16/2004
-99.2940903,36.5846576,1,4326,5/18/2004
-101.76309,35.527542,1,4326,5/19/2004
-106.9000227,34.0704704,1,4326,5/20/2004
-101.722045,35.584835,1,4326,5/20/2004
-101.723342,35.582673,1,4326,5/20/2004
-97.4355963,25.9929608,1,4326,5/21/2004
-102.7715635,33.9623872,1,4326,5/22/2004
-104.3021393,38.6967646,1,4326,5/28/2004
-102.1084705,31.9604868,1,4326,5/28/2004
-98.7977199,29.3667859,1,4326,5/29/2004
-102.1138,34.9101471,1,4326,5/29/2004
-102.607069,30.5966215,1,4326,5/30/2004
-103.7991207,34.4343548,1,4326,5/31/2004
-103.300741,36.5743926,1,4326,5/31/2004
-103.2539024,36.6315456,1,4326,5/31/2004
-103.2539024,36.6315456,1,4326,5/31/2004
-103.300741,36.5743926,1,4326,5/31/2004
-102.6315308,33.3637966,1,4326,5/31/2004
-99.777832,28.2018978,1,4326,6/4/2004
-106.9788174,33.7344432,1,4326,6/6/2004
-98.4426498,31.0221933,1,4326,6/7/2004
-99.444809,34.0555394,1,4326,6/7/2004
-99.3967438,32.5148186,1,4326,6/10/2004
-98.0728912,30.6190048,1,4326,6/11/2004
-99.4956207,32.587745,1,4326,6/11/2004
-103.3251245,32.8569998,1,4326,6/12/2004
-103.3670039,32.8130598,1,4326,6/12/2004
-103.3742552,32.8130396,1,4326,6/12/2004
-103.3096636,32.8569752,1,4326,6/12/2004
-103.351089,32.8350135,1,4326,6/12/2004
-103.3510353,32.8199981,1,4326,6/12/2004
-103.2819658,32.8568186,1,4326,6/12/2004
-103.2651289,32.856788,1,4326,6/12/2004
-103.2569991,32.8567384,1,4326,6/12/2004
-103.334,32.857,1,4326,6/12/2004
-103.3511239,32.8130328,1,4326,6/12/2004
-103.4111269,32.7997902,1,4326,6/12/2004
-103.2992915,32.8569729,1,4326,6/12/2004
-103.179319,32.8420334,1,4326,6/12/2004
-103.4343092,32.7986922,1,4326,6/12/2004
-103.4690244,32.7986958,1,4326,6/12/2004
-103.1540257,32.8420436,1,4326,6/12/2004
-103.383,32.813,1,4326,6/12/2004
-103.2740854,32.8567735,1,4326,6/12/2004
-103.4059402,32.8065076,1,4326,6/12/2004
-103.3165703,32.8569662,1,4326,6/12/2004
-103.4760766,32.7987034,1,4326,6/12/2004
-103.187959,32.8420017,1,4326,6/12/2004
-103.4853597,32.7987057,1,4326,6/12/2004
-103.2483255,32.8566857,1,4326,6/12/2004
-103.3511158,32.8420064,1,4326,6/12/2004
-103.3420566,32.8569718,1,4326,6/12/2004
-103.1450806,32.8420323,1,4326,6/12/2004
-99.250735,33.5889548,1,4326,6/12/2004
-98.0494916,30.6600596,1,4326,6/12/2004
-99.3852425,32.626181,1,4326,6/12/2004
-102.5906754,38.6932142,1,4326,6/13/2004
-99.1937777,31.6375263,1,4326,6/13/2004
-99.1937777,31.6375263,1,4326,6/13/2004
-99.4243813,31.5934509,1,4326,6/13/2004
-99.4243813,31.5934509,1,4326,6/13/2004
-102.8057671,36.4146519,1,4326,6/13/2004
-104.1441461,35.3916748,1,4326,6/15/2004
-98.4704826,34.2028188,1,4326,6/15/2004
-102.1210903,31.9630947,1,4326,6/16/2004
-103.251915,30.2073061,1,4326,6/19/2004
-103.251915,30.2073061,1,4326,6/20/2004
-100.9911346,29.8747365,1,4326,6/20/2004
-102.7452778,37.0113889,1,4326,6/24/2004
-104.6154982,38.4099492,1,4326,6/24/2004
-104.1852325,35.7105416,1,4326,6/25/2004
-99.5066071,32.6134576,1,4326,6/25/2004
-97.1975899,25.9603598,1,4326,6/26/2004
-100.543282,32.016842,1,4326,6/26/2004
-100.669139,32.043858,1,4326,6/26/2004
-102.8064537,40.83784,1,4326,6/27/2004
-106.943523,35.4838781,1,4326,6/27/2004
-103.2481384,30.2065644,1,4326,6/27/2004
-103.283699,30.1522007,1,4326,6/27/2004
-103.5980487,30.3834404,1,4326,6/27/2004
-101.671257,34.9651086,1,4326,6/27/2004
-110.8863696,31.7835694,1,4326,6/28/2004
-104.4043121,39.593546,1,4326,6/28/2004
-110.2535668,31.3459405,1,4326,6/30/2004
-110.6026093,31.4481247,1,4326,7/1/2004
-101.584053,40.4289823,1,4326,7/2/2004
-101.6279984,40.7431603,1,4326,7/2/2004
-103.0827943,37.1437472,1,4326,7/3/2004
-98.9641155,37.0702269,1,4326,7/3/2004
-103.915806,30.603077,1,4326,7/3/2004
-103.742491,30.3230819,1,4326,7/4/2004
-104.43801,38.48682,1,4326,7/5/2004
-104.21747,31.06934,1,4326,7/5/2004
-99.2513466,34.0482503,1,4326,7/7/2004
-106.4682793,34.0845063,1,4326,7/9/2004
-102.8064537,40.83784,1,4326,7/11/2004
-107.653458,35.9647816,1,4326,7/11/2004
-98.9394741,34.2846781,1,4326,7/11/2004
-106.4682793,34.0845063,1,4326,7/12/2004
-110.8863696,31.7835694,1,4326,7/13/2004
-106.8227566,32.2621069,1,4326,7/13/2004
-110.3466807,31.5200639,1,4326,7/16/2004
-110.3183153,31.5061448,1,4326,7/16/2004
-110.8863696,31.7835694,1,4326,7/17/2004
-111.310736,31.5512169,1,4326,7/17/2004
-97.4183462,26.0057269,1,4326,7/17/2004
-110.8863696,31.7835694,1,4326,7/18/2004
-99.1474915,26.5839986,1,4326,7/18/2004
-110.2535668,31.3459405,1,4326,7/20/2004
-110.8863696,31.7835694,1,4326,7/20/2004
-110.2535668,31.3459405,1,4326,7/21/2004
-101.108264,34.101947,1,4326,7/21/2004
-99.1834867,28.913667,1,4326,7/21/2004
-103.9347249,30.5962706,1,4326,7/22/2004
-110.8873272,31.769332,1,4326,7/23/2004
-104.1232681,30.6971209,1,4326,7/23/2004
-110.13799,31.551342,1,4326,7/24/2004
-104.5867115,36.5678494,1,4326,7/24/2004
-108.8637602,31.620252,1,4326,7/24/2004
-110.7944301,32.3300526,1,4326,7/25/2004
-110.8543,31.3769,1,4326,7/25/2004
-110.8566971,31.4951992,1,4326,7/25/2004
-103.2384396,36.4286848,1,4326,7/25/2004
-103.300741,36.5743926,1,4326,7/25/2004
-110.1408997,31.5478992,1,4326,7/26/2004
-110.9143853,31.8156935,1,4326,7/27/2004
-104.258945,36.2179422,1,4326,7/27/2004
-103.4670389,29.4917768,1,4326,7/27/2004
-99.1615982,26.5575008,1,4326,7/27/2004
-111.2862682,31.5131422,1,4326,7/28/2004
-106.8227566,32.2621069,1,4326,7/28/2004
-110.8863696,31.7835694,1,4326,7/29/2004
-110.8566971,31.4951992,1,4326,7/29/2004
-110.8566971,31.4951992,1,4326,7/29/2004
-110.6602456,31.6784657,1,4326,7/30/2004
-107.4360405,32.5769547,1,4326,7/30/2004
-99.1162062,26.5148584,1,4326,7/30/2004
-110.1408997,31.5478992,1,4326,7/31/2004
-109.043684,31.8527003,1,4326,7/31/2004
-110.0970863,31.4177935,1,4326,8/1/2004
-110.1503391,31.4385766,1,4326,8/1/2004
-110.3644028,31.4596996,1,4326,8/1/2004
-110.1067829,31.4088134,1,4326,8/1/2004
-109.03161,31.83539,1,4326,8/1/2004
-109.03161,31.83539,1,4326,8/1/2004
-106.7511171,33.8741683,1,4326,8/2/2004
-102.1084705,31.9604868,1,4326,8/2/2004
-111.326583,31.5717428,1,4326,8/3/2004
-110.9143853,31.8156935,1,4326,8/3/2004
-110.886147,31.739938,1,4326,8/3/2004
-110.2854631,31.3506739,1,4326,8/4/2004
-110.8863696,31.7835694,1,4326,8/4/2004
-110.8863696,31.7835694,1,4326,8/4/2004
-110.7868486,31.7974086,1,4326,8/4/2004
-110.7868486,31.7974086,1,4326,8/4/2004
-106.7511171,33.8741683,1,4326,8/4/2004
-110.3644028,31.4596996,1,4326,8/5/2004
-110.1408997,31.5478992,1,4326,8/5/2004
-110.9143853,31.8156935,1,4326,8/5/2004
-110.8863696,31.7835694,1,4326,8/5/2004
-110.8863696,31.7835694,1,4326,8/5/2004
-109.9496484,31.1750262,1,4326,8/6/2004
-110.0970863,31.4177935,1,4326,8/6/2004
-110.8863696,31.7835694,1,4326,8/6/2004
-106.7511171,33.8741683,1,4326,8/6/2004
-103.9347249,30.5962706,1,4326,8/6/2004
-110.3466807,31.5200639,1,4326,8/7/2004
-110.8543,31.3769,1,4326,8/7/2004
-110.8543,31.3769,1,4326,8/7/2004
-110.8543,31.3769,1,4326,8/7/2004
-110.8566971,31.4951992,1,4326,8/8/2004
-110.886147,31.739938,1,4326,8/9/2004
-110.886147,31.739938,1,4326,8/9/2004
-102.3626348,30.1027497,1,4326,8/9/2004
-109.0595016,31.8145008,1,4326,8/10/2004
-109.0595016,31.8145008,1,4326,8/10/2004
-110.8543,31.3769,1,4326,8/10/2004
-110.8543,31.3769,1,4326,8/10/2004
-110.8863696,31.7835694,1,4326,8/11/2004
-110.65564,31.67949,1,4326,8/11/2004
-110.3644028,31.4596996,1,4326,8/13/2004
-110.6616783,31.7726703,1,4326,8/13/2004
-110.1040605,31.3764616,1,4326,8/14/2004
-102.979805,34.005159,1,4326,8/14/2004
-110.881319,31.7310142,1,4326,8/15/2004
-104.3998146,33.4512089,1,4326,8/15/2004
-103.737996,34.566183,1,4326,8/15/2004
-103.7991207,34.4343548,1,4326,8/15/2004
-103.7278916,33.8610931,1,4326,8/15/2004
-103.6120298,34.2387672,1,4326,8/15/2004
-104.7691626,31.9860597,1,4326,8/15/2004
-110.8873272,31.769332,1,4326,8/16/2004
-110.697062,31.6586828,1,4326,8/16/2004
-106.4682793,34.0845063,1,4326,8/16/2004
