LONGITUDE,LATITUDE,RESPONSE:BINARY,EPSG:4326,OBSERVATION_DATE
-109.6884334,31.7289702,1,4326,2/12/1983
-98.4935913,29.4241295,1,4326,2/24/1983
-97.7707243,26.7876524,1,4326,3/27/1983
-99.1615982,26.5575008,1,4326,3/27/1983
-99.2039032,26.6728992,1,4326,3/27/1983
-97.1070814,28.0580722,1,4326,3/30/1983
-103.8938646,30.5868277,1,4326,3/31/1983
-99.489784,27.567344,1,4326,4/2/1983
-99.1615982,26.5575008,1,4326,4/3/1983
-109.8243175,32.2298515,1,4326,4/9/1983
-98.493762,26.2562004,1,4326,4/9/1983
-97.4904876,25.911388,1,4326,4/11/1983
-99.1615982,26.5575008,1,4326,4/14/1983
-99.1474915,26.5839986,1,4326,5/14/1983
-87.6106024,41.8943551,1,4326,5/28/1983
-99.7750854,30.4889177,1,4326,5/29/1983
-87.6118469,41.8928856,1,4326,5/30/1983
-87.6118469,41.8928856,1,4326,5/30/1983
-87.6118469,41.8928856,1,4326,5/31/1983
-97.8483582,27.4884741,1,4326,6/13/1983
-97.3647237,26.234302,1,4326,7/7/1983
-110.8863696,31.7835694,1,4326,7/13/1983
-104.8666129,31.9644412,1,4326,7/13/1983
-110.4196787,31.6959305,1,4326,7/14/1983
-109.133935,31.6888829,1,4326,7/14/1983
-110.8873272,31.769332,1,4326,7/15/1983
-110.897584,31.7410879,1,4326,7/17/1983
-109.8243175,32.2298515,1,4326,7/24/1983
-103.2663526,29.216651,1,4326,8/8/1983
-101.6727483,30.6780349,1,4326,8/9/1983
-103.2663526,29.216651,1,4326,8/10/1983
-103.2663526,29.216651,1,4326,8/12/1983
-109.8243175,32.2298515,1,4326,8/28/1983
-99.282992,29.3400871,1,4326,9/15/1983
-110.8553123,32.1170387,1,4326,9/16/1983
