LONGITUDE,LATITUDE,RESPONSE:BINARY,EPSG:4326,OBSERVATION_DATE
-110.6545957,31.6789985,1,4326,1/2/1993
-97.6535761,29.074897,1,4326,1/13/1993
-98.3327866,26.1384105,1,4326,1/15/1993
-99.1474915,26.5839986,1,4326,1/16/1993
-97.6647663,28.9895981,1,4326,1/31/1993
-99.1393057,26.5364916,1,4326,2/2/1993
-98.1345126,27.2684502,1,4326,2/13/1993
-99.1474915,26.5839986,1,4326,2/15/1993
-97.6535761,29.074897,1,4326,2/18/1993
-99.1162062,26.5148584,1,4326,2/27/1993
-99.1474915,26.5839986,1,4326,3/8/1993
-99.1474915,26.5839986,1,4326,3/8/1993
-99.1661596,26.5498192,1,4326,3/9/1993
-99.1661596,26.5498192,1,4326,3/9/1993
-99.1474915,26.5839986,1,4326,3/9/1993
-99.1474915,26.5839986,1,4326,3/9/1993
-112.0261395,28.8627627,1,4326,3/18/1993
-99.1661596,26.5498192,1,4326,3/18/1993
-111.8405814,28.8313178,1,4326,3/20/1993
-99.1615982,26.5575008,1,4326,3/20/1993
-99.1615982,26.5575008,1,4326,3/22/1993
-99.1162062,26.5148584,1,4326,3/22/1993
-99.1615982,26.5575008,1,4326,3/23/1993
-110.8863696,31.7835694,1,4326,3/24/1993
-110.8863696,31.7835694,1,4326,3/24/1993
-103.814605,33.417636,1,4326,3/25/1993
-104.0010452,34.2997701,1,4326,3/25/1993
-103.61555,34.214153,1,4326,3/25/1993
-110.2122903,31.8996176,1,4326,3/30/1993
-99.1474915,26.5839986,1,4326,4/1/1993
-97.814722,27.298333,1,4326,4/5/1993
-102.9557133,29.1809226,1,4326,4/6/1993
-97.9558396,28.1106112,1,4326,4/8/1993
-99.71253,29.49523,1,4326,4/12/1993
-97.9093409,27.5183197,1,4326,4/16/1993
-97.6458054,30.2181988,1,4326,4/17/1993
-99.1620827,26.5510138,1,4326,4/22/1993
-110.3466807,31.5200639,1,4326,4/24/1993
-97.6535761,29.074897,1,4326,4/24/1993
-97.78498,29.12835,1,4326,4/24/1993
-110.6365728,31.7878465,1,4326,4/28/1993
-103.0827943,37.1437472,1,4326,4/29/1993
-102.36283,37.05929,1,4326,4/29/1993
-99.5762582,29.8155087,1,4326,4/30/1993
-97.515142,28.8088998,1,4326,4/30/1993
-97.9595879,28.1151164,1,4326,5/1/1993
-97.515142,28.8088998,1,4326,5/2/1993
-104.0129113,40.8016295,1,4326,5/9/1993
-97.6535761,29.074897,1,4326,5/9/1993
-97.6535761,29.074897,1,4326,5/10/1993
-115.3362751,35.1606876,1,4326,5/15/1993
-105.28318,34.58841,1,4326,5/15/1993
-104.9606806,34.3337222,1,4326,5/15/1993
-103.529148,34.110561,1,4326,5/15/1993
-103.529148,34.110561,1,4326,5/15/1993
-97.9595879,28.1151164,1,4326,5/15/1993
-115.1321054,35.02107,1,4326,5/16/1993
-104.8974609,40.5790201,1,4326,5/20/1993
-115.0173068,35.124542,1,4326,5/21/1993
-98.2512474,28.472577,1,4326,5/21/1993
-115.1321054,35.02107,1,4326,5/22/1993
-103.7991207,34.4343548,1,4326,5/22/1993
-103.529148,34.110561,1,4326,5/22/1993
-99.30336,27.9980392,1,4326,5/22/1993
-98.7012577,30.4038235,1,4326,5/23/1993
-101.3185787,29.6935703,1,4326,5/24/1993
-101.3185787,29.6935703,1,4326,5/27/1993
-104.5867115,36.5678494,1,4326,5/28/1993
-98.182497,29.1416291,1,4326,5/28/1993
-97.6535761,29.074897,1,4326,5/29/1993
-97.8555253,27.4774824,1,4326,5/29/1993
-115.1321054,35.02107,1,4326,5/30/1993
-103.012619,36.9010382,1,4326,5/30/1993
-102.963438,36.957248,1,4326,5/30/1993
-115.1321054,35.02107,1,4326,5/31/1993
-115.1321054,35.02107,1,4326,5/31/1993
-102.6991538,33.248911,1,4326,6/3/1993
-97.3647237,26.234302,1,4326,6/5/1993
-103.0603409,37.0987291,1,4326,6/6/1993
-103.0603409,37.0987291,1,4326,6/6/1993
-102.6991538,33.248911,1,4326,6/8/1993
-104.5867115,36.5678494,1,4326,6/11/1993
-85.5851911,40.6964539,1,4326,6/12/1993
-106.252175,35.5924126,1,4326,6/18/1993
-103.300741,36.5743926,1,4326,6/20/1993
-97.6535761,29.074897,1,4326,6/21/1993
-102.6991538,33.248911,1,4326,6/22/1993
-105.4543304,34.5665139,1,4326,6/24/1993
-102.6991538,33.248911,1,4326,6/24/1993
-97.6535761,29.074897,1,4326,6/28/1993
-102.6991538,33.248911,1,4326,6/28/1993
-103.6992556,35.1825233,1,4326,7/9/1993
-102.6991538,33.248911,1,4326,7/10/1993
-110.3466807,31.5200639,1,4326,7/15/1993
-104.8619109,31.0872849,1,4326,7/16/1993
-102.65625,40.7708333,1,4326,7/18/1993
-102.6991538,33.248911,1,4326,7/19/1993
-106.236248,34.7998495,1,4326,7/22/1993
-110.5273265,31.5615058,1,4326,7/24/1993
-97.6535761,29.074897,1,4326,7/24/1993
-110.9580861,31.84325,1,4326,7/30/1993
-110.1408997,31.5478992,1,4326,8/13/1993
-110.881319,31.7310142,1,4326,8/13/1993
-102.6991538,33.248911,1,4326,8/15/1993
-110.8863696,31.7835694,1,4326,8/17/1993
-103.529148,34.110561,1,4326,8/20/1993
-97.5594521,31.1443618,1,4326,8/26/1993
-107.5478268,32.4549526,1,4326,8/29/1993
-110.30364,31.55449,1,4326,9/4/1993
-104.8680639,39.8209707,1,4326,9/12/1993
-106.0467612,31.9214283,1,4326,9/21/1993
-104.8013279,31.9074905,1,4326,10/17/1993
-106.0467612,31.9214283,1,4326,11/8/1993
-99.1248322,26.5341973,1,4326,12/9/1993
