LONGITUDE,LATITUDE,RESPONSE:BINARY,EPSG:4326,OBSERVATION_DATE
-98.7408,23.92398,1,4326,1/13/2001
-98.7408,23.92398,1,4326,1/13/2001
-98.7408,23.92398,1,4326,1/13/2001
-98.7408,23.92398,1,4326,1/13/2001
-99.4105089,28.2992513,1,4326,1/16/2001
-99.4105089,28.2992513,1,4326,1/26/2001
-103.6627007,30.3607671,1,4326,2/1/2001
-99.2656803,26.9002571,1,4326,2/4/2001
-110.9104156,31.7853842,1,4326,2/11/2001
-97.5026375,27.8186488,1,4326,2/16/2001
-111.4347992,31.6618004,1,4326,2/17/2001
-99.106797,26.5296996,1,4326,2/17/2001
-101.015364,25.0647891,1,4326,2/24/2001
-109.3566656,32.0054606,1,4326,3/3/2001
-99.4105089,28.2992513,1,4326,3/9/2001
-99.4105089,28.2992513,1,4326,3/11/2001
-98.3140245,26.1926769,1,4326,3/11/2001
-97.7893059,27.2215856,1,4326,3/11/2001
-99.1162062,26.5148584,1,4326,3/11/2001
-97.6150703,27.0349948,1,4326,3/16/2001
-97.7609582,27.1590663,1,4326,3/17/2001
-100.89637,29.36273,1,4326,3/17/2001
-97.6150703,27.0349948,1,4326,3/19/2001
-98.1399679,26.0799512,1,4326,3/20/2001
-110.8566971,31.4951992,1,4326,3/27/2001
-98.3394384,28.4717282,1,4326,3/27/2001
-99.1155021,26.514616,1,4326,3/30/2001
-99.1155021,26.514616,1,4326,3/30/2001
-111.1184692,31.9594446,1,4326,3/31/2001
-109.1410163,31.9141549,1,4326,4/2/2001
-97.1697558,25.9951067,1,4326,4/4/2001
-108.7546492,31.645673,1,4326,4/7/2001
-97.4183462,26.0057269,1,4326,4/7/2001
-103.1376743,29.6238127,1,4326,4/8/2001
-100.4533,29.61154,1,4326,4/10/2001
-101.6951064,30.6645918,1,4326,4/12/2001
-97.3425493,26.2163251,1,4326,4/13/2001
-98.0935228,32.2132005,1,4326,4/14/2001
-99.733679,32.390927,1,4326,4/14/2001
-99.5762582,29.8155087,1,4326,4/15/2001
-99.7121051,29.4950424,1,4326,4/15/2001
-97.2173004,26.0652008,1,4326,4/19/2001
-101.0322037,29.4832001,1,4326,4/20/2001
-111.4347992,31.6618004,1,4326,4/22/2001
-97.7013494,26.7721022,1,4326,4/23/2001
-110.1067829,31.4088134,1,4326,4/25/2001
-110.8489448,31.4967181,1,4326,4/25/2001
-106.8910555,34.3963633,1,4326,4/25/2001
-97.4974594,25.9017601,1,4326,4/25/2001
-110.1076526,31.4384285,1,4326,4/26/2001
-106.88,33.802,1,4326,4/26/2001
-97.3647237,26.234302,1,4326,4/26/2001
-110.1067829,31.4088134,1,4326,4/27/2001
-104.3998146,33.4512089,1,4326,4/27/2001
-99.1819096,29.6277682,1,4326,4/27/2001
-104.5144844,33.3589279,1,4326,4/28/2001
-104.5144844,33.3589279,1,4326,4/28/2001
-104.3998146,33.4512089,1,4326,4/28/2001
-104.3998146,33.4512089,1,4326,4/28/2001
-103.71241,33.3920092,1,4326,4/28/2001
-103.71241,33.3920092,1,4326,4/28/2001
-100.4533,29.61154,1,4326,4/29/2001
-106.88,33.802,1,4326,4/30/2001
-99.7304535,29.567485,1,4326,5/2/2001
-97.3647237,26.234302,1,4326,5/5/2001
-103.4201002,37.7612405,1,4326,5/6/2001
-103.4558029,37.7630997,1,4326,5/6/2001
-103.4201002,37.7612405,1,4326,5/6/2001
-97.6535761,29.074897,1,4326,5/6/2001
-97.7091448,29.0848754,1,4326,5/6/2001
-102.36283,37.05929,1,4326,5/8/2001
-101.9384614,37.103536,1,4326,5/9/2001
-102.5381012,37.6358986,1,4326,5/12/2001
-102.5381012,37.6358986,1,4326,5/12/2001
-110.8873272,31.769332,1,4326,5/13/2001
-99.30336,27.9980392,1,4326,5/13/2001
-99.777832,28.2018978,1,4326,5/14/2001
-109.0508306,31.8361028,1,4326,5/19/2001
-99.777832,28.2018978,1,4326,5/19/2001
-101.3185787,29.6935703,1,4326,5/20/2001
-103.2663526,29.216651,1,4326,5/22/2001
-102.7791917,33.9570657,1,4326,5/23/2001
-100.9941173,29.884095,1,4326,5/23/2001
-100.9941173,29.884095,1,4326,5/23/2001
-113.98283,39.44994,1,4326,5/23/2001
-97.1972036,28.0618694,1,4326,5/24/2001
-100.9941173,29.884095,1,4326,5/24/2001
-100.9941173,29.884095,1,4326,5/24/2001
-110.885691,31.7591884,1,4326,5/26/2001
-100.8141518,31.2784775,1,4326,6/3/2001
-102.8064537,40.83784,1,4326,6/4/2001
-118.6200956,34.5194209,1,4326,6/8/2001
-106.9788174,33.7344432,1,4326,6/9/2001
-118.290138,35.672498,1,4326,6/10/2001
-118.305244,35.670127,1,4326,6/10/2001
-118.290138,35.672498,1,4326,6/10/2001
-118.305244,35.670127,1,4326,6/10/2001
-118.305244,35.670127,1,4326,6/11/2001
-118.305244,35.670127,1,4326,6/12/2001
-118.305244,35.670127,1,4326,6/12/2001
-118.305244,35.670127,1,4326,6/13/2001
-98.0935228,32.2132005,1,4326,6/13/2001
-105.99456,34.14197,1,4326,6/14/2001
-102.7791917,33.9570657,1,4326,6/17/2001
-103.9281998,30.5986996,1,4326,6/21/2001
-101.1494493,29.9662647,1,4326,6/21/2001
-103.4269586,32.7986106,1,4326,6/23/2001
-103.2222913,32.8420467,1,4326,6/23/2001
-103.3930293,32.8129561,1,4326,6/23/2001
-103.2306605,32.842056,1,4326,6/23/2001
-103.334,32.857,1,4326,6/23/2001
-103.351089,32.8350135,1,4326,6/23/2001
-103.3989074,32.8118944,1,4326,6/23/2001
-103.2569991,32.8567384,1,4326,6/23/2001
-103.2992915,32.8569729,1,4326,6/23/2001
-103.2651289,32.856788,1,4326,6/23/2001
-103.4111269,32.7997902,1,4326,6/23/2001
-103.4690244,32.7986958,1,4326,6/23/2001
-103.383,32.813,1,4326,6/23/2001
-103.3096636,32.8569752,1,4326,6/23/2001
-103.3511239,32.8130328,1,4326,6/23/2001
-103.4343092,32.7986922,1,4326,6/23/2001
-103.2740854,32.8567735,1,4326,6/23/2001
-103.3590055,32.813088,1,4326,6/23/2001
-103.4199634,32.7985835,1,4326,6/23/2001
-103.214,32.842,1,4326,6/23/2001
-103.4059402,32.8065076,1,4326,6/23/2001
-103.3165703,32.8569662,1,4326,6/23/2001
-103.2483255,32.8566857,1,4326,6/23/2001
-103.196461,32.8420007,1,4326,6/23/2001
-103.3420566,32.8569718,1,4326,6/23/2001
-103.3251245,32.8569998,1,4326,6/23/2001
