LONGITUDE,LATITUDE,RESPONSE:BINARY,EPSG:4326,OBSERVATION_DATE
-98.5132134,28.2369519,1,4326,1/8/1981
-98.5132134,28.2369519,1,4326,1/13/1981
-102.36283,37.05929,1,4326,4/25/1981
-99.9481201,29.0141453,1,4326,4/28/1981
-99.9481201,29.0141453,1,4326,4/30/1981
-99.9481201,29.0141453,1,4326,5/1/1981
-99.9481201,29.0141453,1,4326,5/6/1981
-99.9481201,29.0141453,1,4326,5/7/1981
-110.8495188,31.4206798,1,4326,5/18/1981
-100.3235757,29.2806906,1,4326,5/22/1981
-98.5168076,28.9050221,1,4326,6/2/1981
-100.1499939,29.0333586,1,4326,7/3/1981
-110.8863696,31.7835694,1,4326,7/11/1981
-110.8495188,31.4206798,1,4326,7/23/1981
-110.8495188,31.4206798,1,4326,7/23/1981
-104.6835098,38.6187096,1,4326,7/23/1981
-104.786396,38.0586402,1,4326,7/23/1981
-101.6727483,30.6780349,1,4326,7/30/1981
-110.8863696,31.7835694,1,4326,8/1/1981
-110.8863696,31.7835694,1,4326,8/14/1981
-97.3890391,27.641366,1,4326,8/23/1981
-110.1293,32.01,1,4326,9/24/1981
-106.4972,31.8894997,1,4326,9/27/1981
-86.3820457,48.7159535,1,4326,9/28/1981
-86.3809872,48.7169214,1,4326,9/28/1981
-110.1139498,31.4216239,1,4326,11/21/1981
