LONGITUDE,LATITUDE,RESPONSE:BINARY,EPSG:4326,OBSERVATION_DATE
-99.1661596,26.5498192,1,4326,3/4/1982
-101.0571384,29.4499122,1,4326,3/16/1982
-103.3053339,29.2754569,1,4326,3/22/1982
-102.9531759,29.1782435,1,4326,3/24/1982
-101.0322037,29.4832001,1,4326,4/12/1982
-98.5604041,32.2901139,1,4326,4/14/1982
-110.8863696,31.7835694,1,4326,4/15/1982
-102.184371,28.5854422,1,4326,4/18/1982
-98.0696726,30.4384251,1,4326,4/23/1982
-97.7284956,30.3143576,1,4326,4/24/1982
-98.0696726,30.4384251,1,4326,4/25/1982
-97.6144695,30.1385954,1,4326,4/25/1982
-101.0668695,34.4172036,1,4326,5/1/1982
-101.0668695,34.4172036,1,4326,5/1/1982
-110.8022998,31.5080086,1,4326,5/13/1982
-99.3675613,30.0118077,1,4326,5/16/1982
-99.9481201,29.0141453,1,4326,5/26/1982
-99.2292023,28.9907242,1,4326,5/30/1982
-104.3998146,33.4512089,1,4326,6/7/1982
-104.7373009,38.3644065,1,4326,6/13/1982
-97.3647237,26.234302,1,4326,6/19/1982
-104.7373009,38.3644065,1,4326,6/20/1982
-102.9968033,36.9314003,1,4326,6/20/1982
-110.1865997,31.7198009,1,4326,6/22/1982
-110.775,31.528,1,4326,6/22/1982
-104.8245907,38.3125011,1,4326,6/22/1982
-103.9347249,30.5962706,1,4326,6/22/1982
-110.8022998,31.5080086,1,4326,7/17/1982
-109.1714783,31.415651,1,4326,7/21/1982
-110.8975191,31.8739496,1,4326,7/23/1982
-110.8688526,31.8313869,1,4326,7/23/1982
-109.8243175,32.2298515,1,4326,7/25/1982
-110.4827845,31.6637212,1,4326,7/25/1982
-110.8975191,31.8739496,1,4326,7/27/1982
-110.8975191,31.8739496,1,4326,7/30/1982
-110.8119468,31.79744,1,4326,7/31/1982
-110.8975191,31.8739496,1,4326,7/31/1982
-110.8873272,31.769332,1,4326,7/31/1982
-110.8873272,31.769332,1,4326,8/1/1982
-110.8975191,31.8739496,1,4326,8/3/1982
-110.9481,31.7212,1,4326,8/7/1982
-101.6727483,30.6780349,1,4326,8/9/1982
-110.8119468,31.79744,1,4326,8/15/1982
-110.8963453,31.7716596,1,4326,8/21/1982
-106.0467612,31.9214283,1,4326,8/22/1982
-99.1615982,26.5575008,1,4326,9/24/1982
-99.1615982,26.5575008,1,4326,9/24/1982
-110.7678616,31.7141129,1,4326,11/6/1982
-97.2840214,25.972552,1,4326,12/6/1982
-103.9113522,30.8057728,1,4326,12/24/1982
