LONGITUDE,LATITUDE,RESPONSE:BINARY,EPSG:4326,OBSERVATION_DATE
-99.1407108,26.5584358,1,4326,1/8/1998
-106.5572634,32.3697822,1,4326,1/9/1998
-99.1615982,26.5575008,1,4326,1/17/1998
-99.1474915,26.5839986,1,4326,2/8/1998
-99.1162062,26.5148584,1,4326,2/12/1998
-99.2507401,26.8812473,1,4326,2/13/1998
-110.6026093,31.4481247,1,4326,2/15/1998
-99.2710608,26.9021994,1,4326,2/21/1998
-99.1615982,26.5575008,1,4326,2/22/1998
-99.0923004,26.4923992,1,4326,2/23/1998
-103.7192993,30.9617996,1,4326,3/1/1998
-98.1351909,26.2905822,1,4326,3/6/1998
-99.1118288,26.5511421,1,4326,3/20/1998
-98.2512474,28.472577,1,4326,3/21/1998
-99.2941072,28.0468059,1,4326,3/27/1998
-103.7959099,33.4729766,1,4326,3/28/1998
-106.8667468,32.2813255,1,4326,3/28/1998
-99.1615982,26.5575008,1,4326,3/29/1998
-99.1487913,26.5326942,1,4326,3/30/1998
-97.7596092,27.2874345,1,4326,4/3/1998
-96.818819,28.2403924,1,4326,4/8/1998
-97.906723,27.5189287,1,4326,4/8/1998
-110.773989,31.529389,1,4326,4/11/1998
-97.6909018,28.62122,1,4326,4/11/1998
-110.770414,31.530393,1,4326,4/14/1998
-110.9143853,31.8156935,1,4326,4/17/1998
-97.6909018,28.62122,1,4326,4/17/1998
-110.8863696,31.7835694,1,4326,4/18/1998
-99.1474915,26.5839986,1,4326,4/21/1998
-97.766819,26.5975837,1,4326,4/21/1998
-101.799521,30.46857,1,4326,4/24/1998
-97.1168125,28.0421467,1,4326,4/25/1998
-97.1168125,28.0421467,1,4326,4/25/1998
-97.1168125,28.0421467,1,4326,4/25/1998
-99.5762582,29.8155087,1,4326,4/26/1998
-102.9557133,29.1809226,1,4326,4/27/1998
-102.9557133,29.1809226,1,4326,4/27/1998
-97.7927399,27.1331291,1,4326,4/27/1998
-97.7924805,27.1640625,1,4326,4/27/1998
-97.8484122,27.4130739,1,4326,4/27/1998
-99.13481,26.5381569,1,4326,4/27/1998
-110.8863696,31.7835694,1,4326,4/28/1998
-97.3647237,26.234302,1,4326,4/28/1998
-99.4105089,28.2992513,1,4326,4/28/1998
-98.4785768,26.2882711,1,4326,4/29/1998
-97.8990841,28.0606023,1,4326,4/29/1998
-110.3183153,31.5061448,1,4326,4/30/1998
-110.8873272,31.769332,1,4326,4/30/1998
-100.9897614,37.8908408,1,4326,4/30/1998
-103.5505866,34.1110936,1,4326,5/1/1998
-99.5762582,29.8155087,1,4326,5/1/1998
-103.7192993,30.9617996,1,4326,5/2/1998
-99.5322382,29.6143005,1,4326,5/2/1998
-109.1275024,31.9204006,1,4326,5/4/1998
-104.5867115,36.5678494,1,4326,5/4/1998
-97.7707243,26.7876524,1,4326,5/4/1998
-100.9897614,37.8908408,1,4326,5/5/1998
-100.9897614,37.8908408,1,4326,5/6/1998
-100.9897614,37.8908408,1,4326,5/7/1998
-100.9897614,37.8908408,1,4326,5/8/1998
-104.3351197,33.3414996,1,4326,5/8/1998
-102.615097,38.0694008,1,4326,5/9/1998
-102.615097,38.0694008,1,4326,5/9/1998
-100.4533,29.61154,1,4326,5/9/1998
-97.179512,27.6651173,1,4326,5/9/1998
-97.6535761,29.074897,1,4326,5/10/1998
-101.671257,34.9651086,1,4326,5/10/1998
-103.3967113,39.2678814,1,4326,5/11/1998
-103.2663526,29.216651,1,4326,5/11/1998
-97.78498,29.12835,1,4326,5/11/1998
-97.6535761,29.074897,1,4326,5/13/1998
-100.9897614,37.8908408,1,4326,5/14/1998
-115.32383,35.77888,1,4326,5/14/1998
-101.8991381,33.6031471,1,4326,5/14/1998
-100.9897614,37.8908408,1,4326,5/15/1998
-98.3394384,28.4717282,1,4326,5/15/1998
-100.9897614,37.8908408,1,4326,5/16/1998
-101.4553452,31.2024659,1,4326,5/16/1998
-99.30336,27.9980392,1,4326,5/16/1998
-104.6943795,38.7482319,1,4326,5/17/1998
-100.9897614,37.8908408,1,4326,5/17/1998
-97.8233864,31.2416479,1,4326,5/17/1998
-99.777832,28.2018978,1,4326,5/17/1998
-101.6941177,33.5331378,1,4326,5/17/1998
-100.9897614,37.8908408,1,4326,5/18/1998
-104.6943795,38.7482319,1,4326,5/20/1998
-100.9897614,37.8908408,1,4326,5/20/1998
-100.9897614,37.8908408,1,4326,5/21/1998
-106.55809,33.880993,1,4326,5/21/1998
-103.7991207,34.4343548,1,4326,5/22/1998
-100.9897614,37.8908408,1,4326,5/23/1998
-98.3947121,33.7583457,1,4326,5/23/1998
-99.1104555,29.9345836,1,4326,5/23/1998
-99.308939,30.129418,1,4326,5/23/1998
-100.9897614,37.8908408,1,4326,5/24/1998
-96.4884168,28.5105588,1,4326,5/24/1998
-101.671257,34.9651086,1,4326,5/24/1998
-99.983139,29.361905,1,4326,5/24/1998
-100.9897614,37.8908408,1,4326,5/25/1998
-102.1983433,31.8548145,1,4326,5/25/1998
-102.1138,34.9101471,1,4326,5/25/1998
-100.9897614,37.8908408,1,4326,5/26/1998
