LONGITUDE,LATITUDE,RESPONSE:BINARY,EPSG:4326,OBSERVATION_DATE
-106.59024,32.32773,1,4326,1/1/2000
-108.8533115,31.7959626,1,4326,1/1/2000
-97.4183462,26.0057269,1,4326,1/6/2000
-97.4183462,26.0057269,1,4326,1/6/2000
-97.4183462,26.0057269,1,4326,1/6/2000
-99.298296,26.9356912,1,4326,1/17/2000
-106.8910555,34.3963633,1,4326,1/18/2000
-99.106797,26.5296996,1,4326,1/22/2000
-107.5363235,32.7613945,1,4326,1/25/2000
-99.1162062,26.5148584,1,4326,1/29/2000
-110.6026093,31.4481247,1,4326,2/1/2000
-99.1162062,26.5148584,1,4326,2/5/2000
-99.1565681,26.5340383,1,4326,2/18/2000
-99.106797,26.5296996,1,4326,2/22/2000
-99.1474915,26.5839986,1,4326,2/25/2000
-106.8910555,34.3963633,1,4326,2/27/2000
-103.9347249,30.5962706,1,4326,2/28/2000
-99.1155021,26.514616,1,4326,2/28/2000
-103.6051619,29.1999455,1,4326,3/2/2000
-103.6106873,29.1668521,1,4326,3/2/2000
-103.5220032,29.1366997,1,4326,3/3/2000
-99.1661596,26.5498192,1,4326,3/7/2000
-106.4509106,23.2664848,1,4326,3/10/2000
-99.4105089,28.2992513,1,4326,3/10/2000
-99.4105089,28.2992513,1,4326,3/11/2000
-97.2173004,26.0652008,1,4326,3/12/2000
-101.4013732,33.0123928,1,4326,3/12/2000
-99.3832898,28.2923646,1,4326,3/12/2000
-99.1162062,26.5148584,1,4326,3/14/2000
-99.1615982,26.5575008,1,4326,3/17/2000
-101.6924143,33.5321788,1,4326,3/18/2000
-101.7287207,33.5473584,1,4326,3/18/2000
-101.6924143,33.5321788,1,4326,3/24/2000
-106.8910555,34.3963633,1,4326,3/26/2000
-97.4183462,26.0057269,1,4326,3/27/2000
-97.766819,26.5975837,1,4326,3/27/2000
-99.2710608,26.9021994,1,4326,3/28/2000
-110.2869308,31.9532728,1,4326,3/29/2000
-98.3327866,26.1384105,1,4326,3/29/2000
-99.5472908,27.611403,1,4326,4/1/2000
-102.4404716,30.9493469,1,4326,4/2/2000
-97.7893059,27.2215856,1,4326,4/3/2000
-97.9558396,28.1106112,1,4326,4/6/2000
-103.9113522,30.8057728,1,4326,4/7/2000
-98.2512474,28.472577,1,4326,4/7/2000
-103.7864685,30.9448014,1,4326,4/7/2000
-101.7287207,33.5473584,1,4326,4/8/2000
-101.8033202,33.5676571,1,4326,4/8/2000
-101.6924143,33.5321788,1,4326,4/8/2000
-97.444947,25.975209,1,4326,4/9/2000
-97.4183462,26.0057269,1,4326,4/9/2000
-99.1615982,26.5575008,1,4326,4/9/2000
-99.1162062,26.5148584,1,4326,4/9/2000
-104.4710999,32.1091003,1,4326,4/12/2000
-97.6418281,27.8669646,1,4326,4/12/2000
-97.8616507,28.0586183,1,4326,4/12/2000
-101.6924143,33.5321788,1,4326,4/13/2000
-101.671257,34.9651086,1,4326,4/13/2000
-102.36283,37.05929,1,4326,4/14/2000
-106.8910555,34.3963633,1,4326,4/14/2000
-101.7287207,33.5473584,1,4326,4/15/2000
-101.6924143,33.5321788,1,4326,4/15/2000
-101.7287207,33.5473584,1,4326,4/15/2000
-101.7945528,33.5583656,1,4326,4/16/2000
