LONGITUDE,LATITUDE,RESPONSE:BINARY,EPSG:4326,OBSERVATION_DATE
-99.1336298,26.5286088,1,4326,1/1/1999
-110.0970863,31.4177935,1,4326,1/17/1999
-98.0725033,27.1564347,1,4326,1/17/1999
-99.2710608,26.9021994,1,4326,3/13/1999
-99.2710608,26.9021994,1,4326,3/13/1999
-101.8033202,33.5676571,1,4326,3/14/1999
-97.4904876,25.911388,1,4326,3/20/1999
-103.1329536,29.4830914,1,4326,3/23/1999
-103.14009,33.723907,1,4326,3/24/1999
-100.9897614,37.8908408,1,4326,3/31/1999
-101.9699049,31.9090388,1,4326,3/31/1999
-100.8899403,37.9487865,1,4326,4/1/1999
-110.775,31.528,1,4326,4/2/1999
-101.6924143,33.5321788,1,4326,4/3/1999
-101.961,29.8481,1,4326,4/3/1999
-100.9897614,37.8908408,1,4326,4/9/1999
-97.7707243,26.7876524,1,4326,4/9/1999
-110.1408997,31.5478992,1,4326,4/10/1999
-110.1408997,31.5478992,1,4326,4/10/1999
-100.6866074,33.2181082,1,4326,4/10/1999
-100.9897614,37.8908408,1,4326,4/12/1999
-100.9897614,37.8908408,1,4326,4/17/1999
-110.1076526,31.4384285,1,4326,4/19/1999
-97.9135895,27.8023358,1,4326,4/21/1999
-100.9897614,37.8908408,1,4326,4/22/1999
-100.9897614,37.8908408,1,4326,4/23/1999
-99.1474915,26.5839986,1,4326,4/23/1999
-101.6924143,33.5321788,1,4326,4/25/1999
-102.36283,37.05929,1,4326,4/26/1999
-100.9897614,37.8908408,1,4326,4/26/1999
-101.7945528,33.5583656,1,4326,4/26/1999
-102.1138,34.9101471,1,4326,4/27/1999
-101.0361099,37.8575072,1,4326,4/28/1999
-97.1975899,25.9603598,1,4326,4/28/1999
-101.0361099,37.8575072,1,4326,4/30/1999
-100.1101255,29.8766988,1,4326,5/1/1999
-99.8660965,29.7744999,1,4326,5/1/1999
-100.67062,30.5080462,1,4326,5/1/1999
-99.7373199,29.587714,1,4326,5/1/1999
-101.7287207,33.5473584,1,4326,5/2/1999
-101.7287207,33.5473584,1,4326,5/2/1999
-101.6924143,33.5321788,1,4326,5/2/1999
-101.0322037,29.4832001,1,4326,5/2/1999
-101.0322037,29.4832001,1,4326,5/2/1999
-102.57947,37.10502,1,4326,5/3/1999
-101.0361099,37.8575072,1,4326,5/3/1999
-100.9897614,37.8908408,1,4326,5/4/1999
-102.57947,37.10502,1,4326,5/5/1999
-97.515142,28.8088998,1,4326,5/5/1999
-110.1408997,31.5478992,1,4326,5/7/1999
-106.0467612,31.9214283,1,4326,5/7/1999
-103.14009,33.723907,1,4326,5/8/1999
-101.6924143,33.5321788,1,4326,5/8/1999
-101.7287207,33.5473584,1,4326,5/8/1999
-102.36283,37.05929,1,4326,5/9/1999
-104.3907487,40.6832416,1,4326,5/9/1999
-101.9307017,37.1067851,1,4326,5/9/1999
-103.9306211,30.59507,1,4326,5/9/1999
-101.8033202,33.5676571,1,4326,5/9/1999
-103.0827943,37.1437472,1,4326,5/11/1999
-100.9897614,37.8908408,1,4326,5/11/1999
-110.0970863,31.4177935,1,4326,5/12/1999
-101.0361099,37.8575072,1,4326,5/12/1999
-100.9897614,37.8908408,1,4326,5/13/1999
-97.3647237,26.234302,1,4326,5/13/1999
-101.0361099,37.8575072,1,4326,5/14/1999
-104.3890913,34.616559,1,4326,5/14/1999
-104.3989669,32.5649063,1,4326,5/14/1999
-96.4884168,28.5105588,1,4326,5/14/1999
-101.0322037,29.4832001,1,4326,5/14/1999
-101.0361099,37.8575072,1,4326,5/15/1999
-100.9897614,37.8908408,1,4326,5/15/1999
-97.7013494,26.7721022,1,4326,5/15/1999
-97.7792477,27.1409196,1,4326,5/15/1999
-101.0361099,37.8575072,1,4326,5/16/1999
-101.7287207,33.5473584,1,4326,5/16/1999
-101.6924143,33.5321788,1,4326,5/16/1999
-100.9897614,37.8908408,1,4326,5/17/1999
-101.0361099,37.8575072,1,4326,5/18/1999
-101.0361099,37.8575072,1,4326,5/19/1999
-101.0361099,37.8575072,1,4326,5/20/1999
-101.0361099,37.8575072,1,4326,5/21/1999
-101.671257,34.9651086,1,4326,5/21/1999
-102.5594,37.6302111,1,4326,5/22/1999
-101.0361099,37.8575072,1,4326,5/22/1999
-104.5867115,36.5678494,1,4326,5/22/1999
-104.5867115,36.5678494,1,4326,5/22/1999
-101.6924143,33.5321788,1,4326,5/22/1999
-101.6825438,33.5304843,1,4326,5/22/1999
-102.1138,34.9101471,1,4326,5/22/1999
-99.30336,27.9980392,1,4326,5/22/1999
-99.777832,28.2018978,1,4326,5/23/1999
-97.1972036,28.0618694,1,4326,5/25/1999
-101.0361099,37.8575072,1,4326,5/26/1999
-100.9897614,37.8908408,1,4326,5/27/1999
-101.0361099,37.8575072,1,4326,5/28/1999
-104.0600967,34.4326821,1,4326,5/28/1999
-100.9897614,37.8908408,1,4326,5/29/1999
-103.7991207,34.4343548,1,4326,5/29/1999
-103.529148,34.110561,1,4326,5/29/1999
-103.5505866,34.1110936,1,4326,5/29/1999
-101.0361099,37.8575072,1,4326,5/30/1999
-98.5374069,26.273714,1,4326,5/30/1999
-99.7141457,30.3044284,1,4326,5/30/1999
-99.5866871,30.6775609,1,4326,5/30/1999
-101.3722229,37.8369032,1,4326,5/31/1999
-100.9897614,37.8908408,1,4326,6/1/1999
-101.0361099,37.8575072,1,4326,6/2/1999
-101.0361099,37.8575072,1,4326,6/3/1999
-100.9897614,37.8908408,1,4326,6/4/1999
-102.4607247,39.7612188,1,4326,6/5/1999
-102.4607247,39.7612188,1,4326,6/5/1999
-102.2699252,39.8288256,1,4326,6/5/1999
-102.4607247,39.7612188,1,4326,6/6/1999
