LONGITUDE,LATITUDE,RESPONSE:BINARY,EPSG:4326,OBSERVATION_DATE
-99.1474915,26.5839986,1,4326,1/13/1991
-97.7707243,26.7876524,1,4326,3/9/1991
-110.7678616,31.7141129,1,4326,3/13/1991
-97.506964,28.982579,1,4326,3/24/1991
-98.3394384,28.4717282,1,4326,3/24/1991
-98.6213064,29.6081629,1,4326,4/5/1991
-97.6535761,29.074897,1,4326,4/5/1991
-99.1615982,26.5575008,1,4326,4/5/1991
-98.6213064,29.6081629,1,4326,4/9/1991
-99.7121051,29.4950424,1,4326,4/13/1991
-99.7121051,29.4950424,1,4326,4/14/1991
-98.6854649,29.5584515,1,4326,4/19/1991
-97.6535761,29.074897,1,4326,4/23/1991
-99.705863,29.4930281,1,4326,4/24/1991
-99.5762582,29.8155087,1,4326,4/25/1991
-99.705863,29.4930281,1,4326,4/25/1991
-97.3647237,26.234302,1,4326,4/26/1991
-97.3647237,26.234302,1,4326,4/27/1991
-107.3059559,32.8668999,1,4326,4/28/1991
-97.3647237,26.234302,1,4326,4/28/1991
-97.3647237,26.234302,1,4326,4/28/1991
-97.6535761,29.074897,1,4326,4/30/1991
-103.2663526,29.216651,1,4326,5/4/1991
-101.070013,30.6917331,1,4326,5/4/1991
-110.9481,31.7212,1,4326,5/5/1991
-104.7862015,31.9060993,1,4326,5/5/1991
-97.6535761,29.074897,1,4326,5/8/1991
-97.506964,28.982579,1,4326,5/9/1991
-97.6535761,29.074897,1,4326,5/10/1991
-97.78498,29.12835,1,4326,5/10/1991
-102.0784073,31.9973202,1,4326,5/11/1991
-109.0883046,31.894642,1,4326,5/19/1991
-99.8660965,29.7744999,1,4326,5/19/1991
-103.1932926,40.6037875,1,4326,5/21/1991
-105.01793,35.10625,1,4326,5/21/1991
-97.506964,28.982579,1,4326,5/22/1991
-110.775,31.528,1,4326,5/23/1991
-97.6535761,29.074897,1,4326,5/23/1991
-100.4533,29.61154,1,4326,5/24/1991
-109.0508306,31.8361028,1,4326,5/25/1991
-98.0910873,30.129627,1,4326,5/25/1991
-99.7373199,29.587714,1,4326,5/27/1991
-101.8082428,37.1241913,1,4326,5/28/1991
-102.9960711,36.5251591,1,4326,5/28/1991
-101.6727483,30.6780349,1,4326,6/1/1991
-105.8417789,35.344058,1,4326,6/4/1991
-102.5474596,40.1479136,1,4326,6/8/1991
-102.4014616,40.1439771,1,4326,6/8/1991
-104.8637019,38.444618,1,4326,6/9/1991
-104.930477,35.5944005,1,4326,6/11/1991
-101.5422964,40.4353195,1,4326,6/18/1991
-103.2048583,32.7720842,1,4326,6/18/1991
-106.9857958,33.1824675,1,4326,6/18/1991
-103.0168784,37.1348921,1,4326,6/20/1991
-105.1583862,35.548848,1,4326,6/30/1991
-97.6535761,29.074897,1,4326,7/4/1991
-99.0197754,26.4066306,1,4326,7/6/1991
-110.6982422,31.7929716,1,4326,7/7/1991
-110.6982422,31.7929716,1,4326,7/7/1991
-104.7024536,36.0307765,1,4326,7/14/1991
-109.0883046,31.894642,1,4326,7/15/1991
-108.9276838,31.5772924,1,4326,7/18/1991
-108.881173,31.529358,1,4326,7/18/1991
-108.881173,31.529358,1,4326,7/18/1991
-108.9276838,31.5772924,1,4326,7/18/1991
-108.8214469,31.6294139,1,4326,7/19/1991
-108.8214469,31.6294139,1,4326,7/19/1991
-108.8214469,31.6294139,1,4326,7/19/1991
-104.88508,36.11132,1,4326,7/20/1991
-97.506964,28.982579,1,4326,7/21/1991
-103.3696976,29.2786999,1,4326,7/26/1991
-103.1737661,29.6601246,1,4326,7/26/1991
-110.8863696,31.7835694,1,4326,7/29/1991
-110.8873272,31.769332,1,4326,7/29/1991
-109.0351868,31.9643963,1,4326,7/31/1991
-102.8821564,36.850766,1,4326,8/1/1991
-111.4347992,31.6618004,1,4326,8/2/1991
-111.3521013,31.5860821,1,4326,8/3/1991
-98.4919047,29.3040461,1,4326,8/4/1991
-106.7463398,32.5325154,1,4326,8/14/1991
-104.4710999,32.1091003,1,4326,8/14/1991
-97.6535761,29.074897,1,4326,8/27/1991
-109.1744537,31.9307003,1,4326,9/19/1991
-104.1951084,30.0378172,1,4326,10/5/1991
-104.1896677,30.233288,1,4326,10/6/1991
-104.6882915,30.0136286,1,4326,10/6/1991
-97.3647237,26.234302,1,4326,10/13/1991
-97.3647237,26.234302,1,4326,10/13/1991
-97.6535761,29.074897,1,4326,10/30/1991
-100.9811783,25.0605658,1,4326,12/8/1991
-98.1347966,26.075075,1,4326,12/27/1991
